로우데이터 식별자,수집 출처,카테고리,외부 상품 식별자,상품 이미지 URL,상품 상세 URL,상품명,판매 몰 이름,판매가,할인율(%),임의 정가,수집 시각,색깔데이터 식별자,원본 색상명,클라이언트 반환용 색상명,브랜드,기본 배송비,무료 배송 조건
447,soozip,MINI_ELECTRONICS,11,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251230/8522a2d858e1870fb736edf7443a086c.png,https://soozip.co.kr/product/자니즈-미니-가습기-3color/11/category/73/display/1/,자니즈 미니 가습기 3color,SOOZIP,19800.0,42,341380,2026-01-27 18:45:46.654229,19,화이트,,자니즈,0,
447,soozip,MINI_ELECTRONICS,11,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251230/8522a2d858e1870fb736edf7443a086c.png,https://soozip.co.kr/product/자니즈-미니-가습기-3color/11/category/73/display/1/,자니즈 미니 가습기 3color,SOOZIP,19800.0,42,341380,2026-01-27 18:45:46.654229,19,핑크,,자니즈,0,
447,soozip,MINI_ELECTRONICS,11,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251230/8522a2d858e1870fb736edf7443a086c.png,https://soozip.co.kr/product/자니즈-미니-가습기-3color/11/category/73/display/1/,자니즈 미니 가습기 3color,SOOZIP,19800.0,42,341380,2026-01-27 18:45:46.654229,19,블랙,,자니즈,0,
448,soozip,FURNITURE,766,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260113/a94ae38459694632b5fafc1e5639cee5.jpg,https://soozip.co.kr/product/detail.html?product_no=766&cate_no=75&display_group=1,듀라랙 철제선반 경량랙 시스템선반 앵글 베란다선반 수납 팬트리,SOOZIP,49900.0,10,554445,2026-01-27 18:46:03.121802,20,,,MF매직하우스,0,
449,soozip,FURNITURE,765,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260113/2d85dee92a2a2ca54a802059c434140b.jpg,https://soozip.co.kr/product/무볼트-식물-화분거치대-선반/765/category/75/display/1/,무볼트 식물 화분거치대 선반,SOOZIP,15900.0,45,289091,2026-01-27 18:46:03.121802,21,,,MF매직하우스,0,
450,soozip,FURNITURE,749,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260112/c71d6fdeec7ec17d59c8c0178f156f05.jpg,https://soozip.co.kr/product/리샘-로비나a-2in1-옷걸이-수납-화장대-콘솔형풀세트/749/category/75/display/1/,리샘 로비나A 2in1 옷걸이 수납 화장대 (콘솔형/풀세트),SOOZIP,149900.0,0,1499000,2026-01-27 18:46:03.121802,22,화이트,,리샘,55000,
450,soozip,FURNITURE,749,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260112/c71d6fdeec7ec17d59c8c0178f156f05.jpg,https://soozip.co.kr/product/리샘-로비나a-2in1-옷걸이-수납-화장대-콘솔형풀세트/749/category/75/display/1/,리샘 로비나A 2in1 옷걸이 수납 화장대 (콘솔형/풀세트),SOOZIP,149900.0,0,1499000,2026-01-27 18:46:03.121802,22,오크,,리샘,55000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,화이트,,자니즈,20000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,라이트그레이,,자니즈,20000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,다크그레이,,자니즈,20000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,블랙,,자니즈,20000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,옐로우,,자니즈,20000,
