id,fetched_at,product_id,product_image_url,product_mall_name,product_name,product_site_url,source,category,discount_price,discount_rate,list_price,base_shipping_fee,brand,free_shipping_condition,furniture_tag_id
530,2026-01-27 18:46:03.121802,629,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/6aed8c56e0a9608f29f13032015972b0.jpg,SOOZIP,소프시스 올리브 좌식 테이블 900,https://soozip.co.kr/product/소프시스-올리브-좌식-테이블-900/629/category/75/display/1/,soozip,FURNITURE,49900,27,683562,0,소프시스,,113
531,2026-01-27 18:46:03.121802,628,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/578bb02de72d109a0e5f23bbd37ed938.jpg,SOOZIP,소프시스 올리브 좌식 테이블 700,https://soozip.co.kr/product/소프시스-올리브-좌식-테이블-700/628/category/75/display/1/,soozip,FURNITURE,39900,0,399000,0,소프시스,,114
532,2026-01-27 18:46:03.121802,627,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/40247d7cc0471240163041678f8c520e.jpg,SOOZIP,소프시스 올리브 접이식 테이블 1200,https://soozip.co.kr/product/detail.html?product_no=627&cate_no=75&display_group=1,soozip,FURNITURE,60900,0,609000,0,소프시스,,115
533,2026-01-27 18:46:03.121802,626,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/6ca2dbf1e33e745b1f1680251be70d53.jpg,SOOZIP,소프시스 올리브 접이식 테이블 1000,https://soozip.co.kr/product/소프시스-올리브-접이식-테이블-1000/626/category/75/display/1/,soozip,FURNITURE,55900,19,690124,0,소프시스,,116
534,2026-01-27 18:46:03.121802,625,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/4baaf3d55ac1dc26be573cbf9c91fda0.jpg,SOOZIP,소프시스 올리브 접이식 테이블 800,https://soozip.co.kr/product/소프시스-올리브-접이식-테이블-800/625/category/75/display/1/,soozip,FURNITURE,53900,0,539000,0,소프시스,,117
535,2026-01-27 18:46:03.121802,624,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/f8efaf4361668a0da813cf04ddea622a.jpg,SOOZIP,소프시스 브릿지 책상 1400,https://soozip.co.kr/product/소프시스-브릿지-책상-1400/624/category/75/display/1/,soozip,FURNITURE,122900,0,1229000,0,소프시스,,118
536,2026-01-27 18:46:03.121802,623,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251121/5758a18fe6b82498fc1599d2db3e518f.jpg,SOOZIP,소프시스 브릿지 책상 1200,https://soozip.co.kr/product/소프시스-브릿지-책상-1200/623/category/75/display/1/,soozip,FURNITURE,112900,0,1129000,0,소프시스,,119
537,2026-01-27 18:46:03.121802,622,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/df7a39d6dfadec1ae8b4a90f7defce59.jpg,SOOZIP,소프시스 메이저 컴퓨터 데스크 1400x600,https://soozip.co.kr/product/소프시스-메이저-컴퓨터-데스크-1400x600/622/category/75/display/1/,soozip,FURNITURE,70900,0,709000,0,소프시스,,120
538,2026-01-27 18:46:03.121802,621,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/dc98a294f17569d47524ae65f011b3a6.jpg,SOOZIP,소프시스 메이저 컴퓨터 데스크 1200x600,https://soozip.co.kr/product/소프시스-메이저-컴퓨터-데스크-1200x600/621/category/75/display/1/,soozip,FURNITURE,65900,0,659000,0,소프시스,,121
539,2026-01-27 18:46:03.121802,620,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/085de5f0dd757e519543e9a29bbb715b.jpg,SOOZIP,소프시스 메이저 컴퓨터 데스크 1000x600,https://soozip.co.kr/product/소프시스-메이저-컴퓨터-데스크-1000x600/620/category/75/display/1/,soozip,FURNITURE,62900,40,1048334,0,소프시스,,122
